Channel,RMS_uV,Peak_to_Peak_uV,Theta_Beta_Ratio (TBR),Theta_Alpha_Ratio (TAR),Alpha_Beta_Ratio (ABR)
Fp1,9.674531437307687,41.713687037790145,8.843457812103624,2.1279977867214743,4.155764572353435
Fp2,9.67666885239787,42.08352001660897,8.295858848851724,2.300391034897091,3.6062820290128816
F3,12.306277894081408,67.73600004256991,7.55231160719168,2.295034601415255,3.290717971107919
F4,11.167227647573958,61.35324921950005,8.022120557758097,2.3422499820206593,3.4249634408524634
C3,12.03693370780267,67.84153851533301,7.567319357488479,2.0293960403247686,3.7288529232950824
C4,9.115731350638713,40.1485069310749,8.735506080857244,2.3343453127741993,3.74216532277983
O1,10.990197254987105,66.54129442381185,7.241867891375995,2.138086812619,3.3870785080542345
O2,9.504651752650942,43.3074238643338,7.513918944181753,2.2160509814059264,3.390679640147406
