channel,RMS_uV,P2P_uV,TBR,TAR,ABR
Fp1,9.796833053566793,71.64175622165203,1.3445857478788699,1.889109347262426,0.7117564421706747
Fp2,9.850703401818292,69.37515354366042,1.1742820460462093,1.6521500121089117,0.7107599415547499
F3,9.79595659778747,63.731367845321074,0.9970460007016737,1.534048338635077,0.6499443176535087
F4,9.743005531101698,69.47992369532585,1.2188855944307022,1.7113261872987324,0.7122462120179845
C3,5.664023915859844,37.68474198295735,1.166884197787397,1.7573857059302649,0.6639886701307336
C4,5.811776082362662,49.26057590637356,0.5152752335233884,1.1945558935619098,0.43135297084086044
P3,6.134986065486797,49.80093399353791,0.8537680378346345,1.4945710699177972,0.5712461956603994
Pz,6.710979606168324,52.77825584926177,1.981476937826857,0.22334033155180313,8.872006789186928
P4,6.2040762021613665,54.249114327831194,0.7376292980546099,1.348616415680252,0.5469526319554283
O1,8.45681313094504,76.07302904943936,0.6146360115265306,0.489278921609726,1.2562078282554667
O2,8.197520260753704,64.59534415625967,1.1539124965895955,0.2662985179638286,4.333154031095027
